experiment_id,mode,timestamp,action,step_id,step_name,short_text_viewed,long_text_viewed,single_pieces_viewed,assembly_viewed,video_viewed
10,Sentient,2025-11-12 15:34:44.912153,step_loaded,11.0,Assembly PIECE 6,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:35:00.141605,sentient_step_adapted,11.0,Assembly PIECE 6,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:35:12.210506,sentient_step_adapted,11.0,Assembly PIECE 6,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:39:06.303355,navigate_next,11.0,Assembly PIECE 6,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:06.334037,initial_suggestion,11.0,Assembly PIECE 6,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:06.451205,step_loaded,12.0,Withdraw Components for PIECE 7,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:15.488203,sentient_step_adapted,12.0,Withdraw Components for PIECE 7,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:39:17.349702,sentient_step_adapted,12.0,Withdraw Components for PIECE 7,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:39:25.174653,navigate_next,12.0,Withdraw Components for PIECE 7,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:25.237603,initial_suggestion,12.0,Withdraw Components for PIECE 7,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:25.601493,step_loaded,13.0,Assembly PIECE 7,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:43.600527,sentient_step_adapted,13.0,Assembly PIECE 7,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:39:45.888767,sentient_step_adapted,13.0,Assembly PIECE 7,0.0,1.0,0.0,1.0,1.0
10,Sentient,2025-11-12 15:39:52.035903,navigate_next,13.0,Assembly PIECE 7,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:52.055639,initial_suggestion,13.0,Assembly PIECE 7,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:39:52.156266,step_loaded,14.0,Withdraw Components for PIECE 8,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:40:01.528096,sentient_step_adapted,14.0,Withdraw Components for PIECE 8,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:40:05.440883,navigate_next,14.0,Withdraw Components for PIECE 8,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:40:05.461241,initial_suggestion,14.0,Withdraw Components for PIECE 8,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:40:05.553312,step_loaded,15.0,Assembly PIECE 8,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:40:06.019406,sentient_step_adapted,14.0,Withdraw Components for PIECE 8,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:40:17.654441,sentient_step_adapted,15.0,Assembly PIECE 8,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:40:20.813196,sentient_step_adapted,15.0,Assembly PIECE 8,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:41:33.744531,navigate_next,15.0,Assembly PIECE 8,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:41:33.764453,initial_suggestion,15.0,Assembly PIECE 8,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:41:33.915934,step_loaded,16.0,Final Control,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:41:49.854665,sentient_step_adapted,16.0,Final Control,0.0,1.0,0.0,0.0,1.0
10,Sentient,2025-11-12 15:41:49.974656,sentient_step_adapted,16.0,Final Control,0.0,1.0,0.0,0.0,1.0
unknown,Sentient,2025-11-13 08:36:55.503965,start_experiment,,,0.0,0.0,0.0,0.0,0.0
unknown,Sentient,2025-11-13 08:36:55.638516,step_loaded,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
unknown,Sentient,2025-11-13 08:37:02.248849,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
unknown,Sentient,2025-11-13 08:37:03.544563,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:27:53.619874,start_experiment,,,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:27:53.740168,step_loaded,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:28:05.808749,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:28:09.439084,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:42:23.011527,navigate_next,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:42:23.042331,initial_suggestion,1.0,Withdraw Components for PIECE 1,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:42:23.097687,step_loaded,2.0,Assembly PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:42:31.176893,sentient_step_adapted,2.0,Assembly PIECE 1,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:42:32.959535,sentient_step_adapted,2.0,Assembly PIECE 1,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:46:25.366863,navigate_next,2.0,Assembly PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:46:25.459129,initial_suggestion,2.0,Assembly PIECE 1,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:46:25.638822,step_loaded,3.0,Withdraw Components for PIECE 2,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:46:31.704215,sentient_step_adapted,3.0,Withdraw Components for PIECE 2,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:46:33.628649,sentient_step_adapted,3.0,Withdraw Components for PIECE 2,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:49:12.836003,navigate_next,3.0,Withdraw Components for PIECE 2,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:49:12.865249,initial_suggestion,3.0,Withdraw Components for PIECE 2,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:49:12.968208,step_loaded,4.0,Assembly PIECE 2,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:49:22.278709,sentient_step_adapted,4.0,Assembly PIECE 2,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:49:38.117434,sentient_step_adapted,4.0,Assembly PIECE 2,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:52:55.197537,navigate_next,4.0,Assembly PIECE 2,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:52:55.235982,initial_suggestion,4.0,Assembly PIECE 2,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:52:55.331549,step_loaded,5.0,Withdraw Components for PIECE 3,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:53:00.848388,sentient_step_adapted,5.0,Withdraw Components for PIECE 3,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:53:15.733899,sentient_step_adapted,5.0,Withdraw Components for PIECE 3,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:55:24.486844,navigate_next,5.0,Withdraw Components for PIECE 3,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:55:24.536114,initial_suggestion,5.0,Withdraw Components for PIECE 3,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:55:24.635853,step_loaded,6.0,Assembly PIECE 3,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:55:44.374589,sentient_step_adapted,6.0,Assembly PIECE 3,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:55:46.762723,sentient_step_adapted,6.0,Assembly PIECE 3,0.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:57:06.789768,navigate_next,6.0,Assembly PIECE 3,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:57:06.833276,initial_suggestion,6.0,Assembly PIECE 3,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:57:06.924799,step_loaded,7.0,Withdraw Components for PIECE 4,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:57:12.899468,sentient_step_adapted,7.0,Withdraw Components for PIECE 4,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:57:20.538820,sentient_step_adapted,7.0,Withdraw Components for PIECE 4,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:58:45.785149,navigate_next,7.0,Withdraw Components for PIECE 4,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:58:45.818077,initial_suggestion,7.0,Withdraw Components for PIECE 4,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:58:45.919942,step_loaded,8.0,Assembly PIECE 4,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:58:56.789807,sentient_step_adapted,8.0,Assembly PIECE 4,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:59:28.419565,sentient_step_adapted,8.0,Assembly PIECE 4,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 09:59:37.318154,navigate_next,8.0,Assembly PIECE 4,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:59:37.351330,initial_suggestion,8.0,Assembly PIECE 4,1.0,0.0,0.0,0.0,0.0
